This file is created using RaceChrono v7.4.1 ( http://www.racechrono.com/ ).

Session title,"Guaporé"
Session type,Lap timing
Track name,"Guaporé"
Driver name,
Export scope,Session start
Created,15/11/2021,19:41
Note,

Lap #,Timestamp (s),Distance (m),Distance (km),Locked satellites,Latitude (deg),Longitude (deg),Speed (m/s),Speed (km/h),Speed (mph),Altitude (m),Bearing (deg),Longitudinal Acceleration (G),Lateral Acceleration (G),X-position (m),Y-position (m),RPM (rpm),Throttle Position (%),Trap name
6,71691.000,19412.458,19.412458,23,-28.8502357,-51.8542173,18.43,66.35,41.23,479.03,171.80,-0.09,0.27,-0.00,-0.00,,,
6,71692.000,19430.412,19.430412,23,-28.8503888,-51.8541590,17.98,64.73,40.22,478.26,156.50,-0.05,0.49,5.68,-17.03,,,
6,71693.000,19448.060,19.448060,23,-28.8505232,-51.8540625,17.52,63.07,39.19,477.78,140.80,-0.05,0.49,15.08,-31.97,,,
6,71694.000,19464.908,19.464908,23,-28.8506190,-51.8539285,16.86,60.70,37.71,477.23,121.90,-0.07,0.56,28.13,-42.62,,,
6,71695.000,19481.027,19.481027,23,-28.8506670,-51.8537723,16.23,58.43,36.31,476.88,103.80,-0.06,0.52,43.34,-47.96,,,
6,71696.000,19496.580,19.496580,23,-28.8506693,-51.8536127,15.51,55.84,34.69,476.65,85.00,-0.07,0.52,58.89,-48.22,,,
6,71697.000,19511.562,19.511562,23,-28.8506243,-51.8534677,15.16,54.58,33.91,477.23,64.40,-0.04,0.55,73.01,-43.22,,,
6,71698.000,19526.936,19.526936,23,-28.8505393,-51.8533432,15.24,54.86,34.09,477.52,46.90,0.01,0.47,85.14,-33.77,,,
6,71699.000,19542.804,19.542804,23,-28.8504200,-51.8532538,15.84,57.02,35.43,477.42,30.70,0.06,0.46,93.84,-20.50,,,
6,71700.000,19559.596,19.559596,23,-28.8502778,-51.8531957,16.52,59.47,36.95,477.30,20.70,0.07,0.29,99.50,-4.69,,,
6,71701.000,19577.239,19.577239,23,-28.8501208,-51.8531695,17.26,62.14,38.61,477.76,8.20,0.08,0.38,102.05,12.77,,,
6,71702.000,19595.016,19.595016,23,-28.8499612,-51.8531788,17.40,62.64,38.92,478.25,357.50,0.01,0.33,101.14,30.52,,,
6,71703.000,19613.035,19.613035,23,-28.8498008,-51.8532057,17.84,64.22,39.91,478.61,352.60,0.04,0.16,98.53,48.35,,,
6,71704.000,19631.460,19.631460,23,-28.8496378,-51.8532397,18.38,66.17,41.11,478.92,349.90,0.06,0.09,95.22,66.48,,,
6,71705.000,19650.710,19.650710,23,-28.8494687,-51.8532817,18.88,67.97,42.23,479.32,348.30,0.05,0.05,91.13,85.29,,,
6,71706.000,19670.118,19.670118,23,-28.8492970,-51.8533177,19.46,70.06,43.53,479.56,347.90,0.06,0.01,87.62,104.37,,,
6,71707.000,19689.701,19.689701,23,-28.8491242,-51.8533563,20.00,72.00,44.74,479.60,348.00,0.06,-0.00,83.86,123.59,,,
6,71708.000,19710.148,19.710148,23,-28.8489440,-51.8533983,20.56,74.02,45.99,479.68,348.40,0.06,-0.01,79.77,143.63,,,
6,71709.000,19731.121,19.731121,23,-28.8487582,-51.8534352,21.08,75.89,47.15,479.68,348.20,0.05,0.01,76.18,164.29,,,
